※アーティス情報なし,※アーティス情報なし,いかないで,イカナイデ
MANDY MOORE,マンディ・ムーア,自由への扉,ジユウヘノトビラ
I WiSH,アイウィッシュ,明日への扉,アスヘノトビラ
相川 七瀬,アイカワナナセ,夢見る少女じゃいられない,ユメミルショウジョジャイラレナイ
AKINO,アキノ,創聖のアクエリオン,ソウセイノアクエリオン
りょーくん,アサ,吉原ラメント,ヨシハララメント
新しい学校のリーダーズ,アタラシイガッコウノリーダーズ,オトナブルー,オトナブルー
Ado,アド,阿修羅ちゃん,アシュラチャン
Ado,アド,うっせぇわ,ウッセェワ
Ado,アド,ギラギラ,ギラギラ
Ado,アド,新時代,シンジダイ
Ado,アド,レディメイド,レディメイド
Ado,アド,私は最強,ワタシハサイキョウ
嵐,アラシ,LOVE SO SWEET,ラブ　ソー　スイーツ
嵐,アラシ,ONE LOVE,ワン　ラブ
AliA,アリア,かくれんぼ,かくれんぼ
angela,アンジェラ,SHANGRI-LA,シャングリラ
いきものがかり,イキモノガカリ,YELL,エール
いきものがかり,イキモノガカリ,ブルーバード,ブルーバード
石川　さゆり,イシカワサユリ,津軽海峡・冬景色,ツガルカイキョウフユゲシキ
井上　あずみ,イノウエアズミ,君をのせて,キミヲノセテ
井上　あずみ,イノウエアズミ,となりのトトロ,トナリノトトロ
岩崎　良美,イワサキヨシミ,タッチ,タッチ
宇多田　ヒカル,ウタダヒカル,PRISONER OF LOVE,プリズナー オブ ラヴ
AKB48,エーケービフォーティーエイト,大声ダイヤモンド,オオゴエダイヤモンド
AKB48,エーケービフォーティーエイト,フライングゲット,フライングゲット
Aimer,エメ,カタオモイ,カタオモイ
Aimer,エメ,ザンキョウ サンカ,ザンキョウサンカ
Aimer,エメ,蝶々結び,チョウチョウムスビ
Awesome City Club,オーサムシティクラブ,勿忘,ワスレナ
大塚　愛,オオツカアイ,プラネタリウム,プラネタリウム
奥　華子,オクハナコ,変わらないもの,カワラナイモノ
奥華子,オクハナコ,楔,クサビ
尾崎豊,オザキユタカ,I LOVE YOU,アイ　ラブ　ユー
小田　和正,オダカズマサ,たしかなこと,タシカナコト
鬼束　ちひろ,オニツカチヒロ,月光,ゲッコウ
鬼束　ちひろ,オニツカチヒロ,眩暈,メマイ
鬼束　ちひろ,オニツカチヒロ,私とワルツを,ワタシトワルツ
Official髭男dism,オフィシャルひげダンディズム,ノーダウト,ノーダウト
Official髭男dism,オフィシャルひげダンディズム,PRETENDER,プリテンダー
Orangestar,オレンジスター,回る空うさぎ,マワルソラウサギ
陰陽座,オンミョウザ,甲賀忍法帖,コウガニンポウチョウ
門倉　有希,カドクラユキ,花は咲く,ハナハサク
Kanaria,カナリア,KING,キング
Kanaria,カナリア,酔いどれ知らず,ヨイドレシラヅ
川崎 鷹也,カワサキタツヤ,魔法の絨毯,マホウノジュウタン
北出菜奈,キタデナナ,消せない罪,ケセナイツミ
木村　カエラ,キムラカエラ,BUTTERFLY,バタフライ
木村　弓,キムラユミ,いつも何度でも,イツモナンドデモ
gal’up,ギャロップ,うまぴょい伝説,ウマピョイデンセツ
Kiroro,キロロ,Best Friend,ベストフレンド
KinKi Kids,キンキ キッズ,ボクの背中には羽根がある,ボクノセナカニハハネガアル
King Gnu,キングヌー,白日,ハクジツ
久保田　早紀,クメサユリ,異邦人,イホウジン
クリス・ハート,クリスハート,I LOVE YOU 2020 ENGLISH VER,アイ　ラブ　ユー
黒うさP,クロウサピー,千本桜,センボンザクラ
めいちゃん,コアクマダッテカマワナイ,小悪魔だってかまわない,メイチャン
倖田 來未,コウダクミ,愛のうた,アイノウタ
コブクロ,コブクロ,蕾,ツボミ
斉藤　和義,サイトウカズヨシ,歌うたいのバラッド,ウタウタイノバラッド
Sound Horizon,サウンドホライゾン,美しきもの,ウツクシキモノ
Sound Horizon,サウンドホライゾン,終端の王と異世界の騎士The Endia & The Knights,シュウエンノオウトイセカイノキシ
Sound Horizon,サウンドホライゾン,恋人を射ち堕とした日,シュウエンノオウトイセカイノキシ
坂本真綾,サカモトマアヤ,プラチナ,プラチナ
NEWS,サクラガール,さくらガール,ニュース
佐々木　恵梨,ササキエリ,ふゆびより,フユビヨリ
サスケ,サスケ,青いベンチ,アオイベンチ
菅田　将暉,サヨナラエレジー,さよならエレジー,サヨナラエナジー
Sea☆A,シーエー,恋愛サーキュレーション,レンアイサーキュレーション
椎名 林檎,シイナリンゴ,丸の内サディスティック,マルノウチサディスティック
Janne Da Arc,ジャンヌダルク,月光花,ゲッコカ
Janne Da Arc,ジャンヌダルク,ダイヤモンドヴァージン,ダイヤモンドヴァージン
Janne Da Arc,ジャンヌダルク,DOLLS,ドールズ
Disney,ジョディ・ベンソン,PART OF YOUR WORLD // LITTLE MERMAID THE,パート　オブ　ユア　ワールド
Supercell,スーパーセル,君の知らない物語,キミノシラナイモノガタリ
Supercell,スーパーセル,ワールドイズマイン,ワールドイズマイン
スキマスイッチ,スキマスイッチ,奏,カナデ
鈴木　宏子,スズキヒロコ,薔薇は美しく散る,バラハウツクシクチル
ずっと真夜中でいいのに。,ズットマヨナカデイイノニ。,正しくなれない,タダシクナレナイ
スピッツ,スピッツ,空も飛べるはず,ソラモトベルハズ
スピッツ,スピリッツ,チェリー,チェリー
スピッツ,スピリッツ,ロビンソン,ロビンソン
相対性理論,ソウタイセイリロン,チャイナアドバイス,チャイナアドバイス
ZONE,ゾーン,SECRET BASE～君がくれたもの～,シークレットベース
Da-iCE,ダイス,CITRUS,シトラス
岩男　潤子,ダイドウジトモヨ,夜の歌,ヨルノウタ
高橋　洋子,タカハシヨウコ,魂のルフラン,タマシイノルフラン
Tani Yuuki,タニユウキ,Myra,マイラ
ツミキ,ツミキ,フォニイ,フォニイ
DISH//,ディッシュ,猫,ネコ
手嶌　葵,テシマアオイ,明日への手紙,アスヘノテガミ
森山　良子,テシマアオイ,さよならの夏,サヨナラノナツ
手嶌　葵,テシマアオイ,ただいま,タダイマ
手嶌　葵,テシマアオイ,テルーの唄,テルーノウタ
どうぶつビスケッツ×ＰＰＰ,ドウブツビスケッツ,ようこそジャパリパークへ,ヨウコソジャパリパークヘ
Doughnuts Hole,ドーナツ・ホール,おとなの掟,オトナノオキテ
ドリーミング,ドリーミング,アンパンマンのマーチ,アンパンマンマーチ
ドリーミング・アンパン合唱団,ドリーミング,サンサンたいそう,サンサンタイソウ
平野 綾,ナカガワショウコ,God knows...,ゴット　ノウズ
中島 愛,ナカジマアイ,星間飛行,セイカンヒコウ
中島 美嘉,ナカシマミカ,雪の華,ユキノハナ
中島 みゆき,ナカジマミユキ,糸,イト
千住 明,ナカジマミユキ,命の別名,イノチノナマエ
中島みゆき,ナカジマミユキ,空と君のあいだに,ソラトキミトノアイダニ
中林芽依,ナカバヤシメイ,射手座☆午後九時DON’T　BE　LATE,イテザ☆ゴゴクジドントビーレイト
BEGIN,ナツカワリミ,涙そうそう,ナダソウソウ
n-buna,ナブナ,夜明けと蛍,ヨアケトホタル
月ノ美兎、静凛、樋口楓、える、剣持刀也、森中花咲、シスター・クレア、緑仙、ドーラ、本間ひまわり、鷹宮リオン、ジョー・力一,ニジサンジライバー,Virtual to LIVE,バーチャルトゥライブ
嵐,ニノミヤカズナリ,虹,ニジ
Novelbright,ノーベルブライト,愛とか恋とか,アイトカコイトカ
秦 基博,ハタモトヒロ,ひまわりの約束,ヒマワリノヤクソク
花沢 加絵,ハナザワカエ,セーラースターソング,セーラースターソング
HoneyWorks,ハニーワークス,可愛くてごめん,カワイクテゴメン
mona（CV:夏川 椎菜）,ハニーワークス,ファンサ,ファンサ
ハムちゃんず,ハムチャンズ,ハム太郎とっとこうた,ハムタロウトットコウタ
BUMP OF CHICKEN,バンプ・オブ・チキン,k,ケー
BUMP OF CHICKEN,バンプ・オブ・チキン,車輪の唄,シャリンノウタ
BUMP OF CHICKEN,バンプ・オブ・チキン,天体観測,テンタイカンソク
BUMP OF CHICKEN,バンプ・オブ・チキン,ラフ・メイカー,ラフメイカー
P丸様。,ピーマルサマ。,シル・ヴ・プレジデント,シル・ヴ・プレジデント
光ＧＥＮＪＩ,ヒカルゲンジ,勇気100%,ユウキヒャクパーセント
一青 窈,ヒトトヨウ,ハナミズキ,ハナミズキ
一青 窈,ヒトトヨウ,もらい泣き,モライナキ
グミ,ヒナタメグミ,ＣＡＴＣＨ ＹＯＵ ＣＡＴＣＨ ＭＥ,キャッチ　ユー　キャッチ　ミー
ピノキオピー,ピノキオピー,神っぽいな,カミッポイナ
平井堅,ヒライケン,ノンフィクション,ノンフィクション
平井 堅,ヒライゲン,告白,コクハク
平井 堅,ヒライゲン,瞳をとじて,ヒトミヲトジテ
ＡＧＨＡＲＴＡ,ブイシックス,ＷＡになっておどろう～ＩＬＥ ＡＩＹＥ～,ワニナッテオドロウ
FRIPSIDE,フィリップサイド,only my railgun,オンリーマイレールガン
歌よ,ベル,歌よ,ウタヨ
ＢｏＡ,ボア,ＶＡＬＥＮＴＩ,バレンティ
ポルノグラフィティ,ポルノグラフィティ,愛が呼ぶほうへ,アイガヨブホウヘ
ポルノグラフィティ,ポルノグラフィティ,アゲハ蝶,アゲハチョウ
ポルノグラフィティ,ポルノグラフィティ,アポロ,アポロ
ポルノグラフィティ,ポルノグラフィティ,今宵、月が見えずとも,コヨイツキガミエヅトモ
ポルノグラフィティ,ポルノグラフィティ,シスター,シスター
ポルノグラフィティ,ポルノグラフィティ,ジョバイロ,ジョバイロ
ポルノグラフィティ,ポルノグラフィティ,ネオメロドラマティック,ネオメロドラマティック
ポルノグラフィティ,ポルノグラフィティ,ヒトリノ夜,ヒトリノヨル
ポルノグラフィティ,ポルノグラフィティ,ミュージックアワー,ミュージックアワー
ポルノグラフィティ,ポルノグラフィティ,ＭＵＧＥＮ,ムゲン
ポルノグラフィティ,ポルノグラフィティ,メリッサ,メリッサ
黒うさP,ホワイトフレイム,カンタレラ,カンタレラ
JITTERIN'JINN,ホワイトベリー,夏祭り,ナツマツリ
ＭＡＯ,マオ,夢をかなえてドラえもん,ユメヲカナエテドラエモン
ＳＭＡＰ,マキハラノリユキ,世界に一つだけの花,セカイニヒトツダケノハナ
槇原 敬之,マキハラノリユキ,どんなときも。,ドンナトキモ。
槇原 敬之,マキハラノリユキ,ＨＵＮＧＲＹ ＳＰＩＤＥＲ,ハングリー　スパイダー
ＴＷＯ－Ｂ－ＦＲＥＥ,マツタニユウコ,うる星やつらのテーマ,ラムノラブソング
松任谷 由実,マツトウヤユミ,春よ、来い,ハルヨコイ
荒井 由実,マツトウヤユミ,ルージュの伝言,ルージュノデンゴン
リカ,マツモトリカ,めざせポケモンマスター,メザセポケホンマスター
ＭＡＨＯ堂,マホウドウ,おジャ魔女カーニバル,オジャマジョカーニバル
みきとP,ミキトピー,いーあるふぁんくらぶ,イーアルファンクラブ
みきとP,ミキトピー,少女レイ,ショウジョレイ
水樹 奈々,ミズキナナ,ETERNAL BLAZE,エターナル　ブレイズ
水樹 奈々,ミズキナナ,DISCOTHEQUE,ディスコ　ティック
水樹 奈々,ミズキナナ,ＰＨＡＮＴＯＭ ＭＩＮＤＳ,ファントム　マインズ
Mrs.GREEN APPLE,ミセス・グリーン・アップル,青と夏,アオトナツ
Mrs.GREEN APPLE,ミセス・グリーン・アップル,点描の唄（ＦＥＡＴ．井上苑子）,テンビョウノウタ
てにをは,ミヤシタユウ,ヴィラン,ヴィラン
未来古代楽団ｆｅａｔ．安次嶺希和子,ミライコダイガクダン,忘れじの言の葉,ワスレジノコトノハ
MAISONdes feat. 花譜， ツミキ,メゾン・デ,トウキョウ・シャンディ・ランデヴ,トウキョウシャンディランデブー
もさを。,モサヲ。,ぎゅっと。,ギュット。
ももいろクローバーＺ,モモイロクローバーゼット,サラバ、愛しき悲しみたちよ,サラバ、イトシキカナシミタチヨ
ももいろクローバーＺ,モモイロクローバーゼット,MOON PRIDE,ムーンプライド
ＤＡＬＩ,モモイロクローバーゼット,ムーンライト伝説,ムーンライトデンセツ
森山 直太朗,モリヤマナオタロウ,さくら（独唱）,サクラ
Ya-Ya-yah,ヤーヤーヤー,世界が一つになるまで,セカイガヒトツニナルマデ
優里,ユウリ,かくれんぼ,カクレンボ
優里,ユウリ,シャッター,シャッター
優里,ユウリ,ドライフラワー,ドライフラワー
優里,ユウリ,ペテルギウス,ベテルギウス
優里,ユウリ,レオ,レオ
癒月,ユヅキ,You,ユー
UNISON SQUARE GARDEN,ユニゾン・スクエア・ガーデン,シュガーソングとビターステップ,シュガーソングトビターステップ
YOASOBI,ヨアソビ,アイドル,アイドル
YOASOBI,ヨアソビ,アンコール,アンコール
YOASOBI,ヨアソビ,怪物,カイブツ
YOASOBI,ヨアソビ,群青,グンジョウ
YOASOBI,ヨアソビ,三原色,サンゲンショク
YOASOBI,ヨアソビ,夜に駆ける,ヨルニカケル
米津 玄師,ヨネヅケンシ,アイネクライネ,アイネクライネ
米津 玄師,ヨネヅケンシ,馬と鹿,ウマトシカ
米津 玄師,ヨネヅケンシ,パプリカ,パプリカ
ハチ,ヨネヅケンシ,マトリョシカ,マトリョシカ
ハチ,ヨネヅケンシ,リンネ,リンネ
米津 玄師,ヨネヅケンシ,Lemon,レモン
ヨルシカ,ヨルシカ,言って。,イッテ。
ヨルシカ,ヨルシカ,だから僕は音楽を辞めた,ダカラボクハオンガクヲヤメタ
ヨルシカ,ヨルシカ,ただ君に晴れ,タダキミニハレ
ヨルシカ,ヨルシカ,花に亡霊,ハナニボウレイ
40mP,ヨンジュウメートルピー,からくりピエロ,カラクリピエロ
40mP,ヨンジュウメートルピー,シリョクケンサ,シリョクケンサ
40mP,ヨンジュウメートルピー,ドレミファロンド,ドレミファロンド
RADWIMPS,ラッドウィンプス,すずめ,スズメ
RADWIMPS,ラッドウィンプス,スパークル,スパークル
LISA,リサ,紅蓮華,グレンゲ
LISA,リサ,炎,ホムラ
緑黄色社会,リョクオウショクヤサイ,ＭＥＬＡ！,メラ
Linked Horizon,リンクトホライズン,紅蓮の弓矢,グレンノユミヤ
レミオロメン,レミオロメン,粉雪,コナユキ
レミオロメン,レミオロメン,３月９日,サンガツココノカ
国生　さゆり,ワタリロウカハシリタイセブン,バレンタイキッス,バレンタインキッス
※アーティスト情報なし,※アーティスト情報なし,カーロ・ミオ・ベン,カーロ・ミオ・ベン
小林沙苗,コバヤシサナエ,つないだ手にキスを,ツナイダテニキスヲ
星野源,ホシノゲン,恋,コイ
友成空,トモナリソラ,鬼の宴,オニノウタゲ
平井堅,ヒライケン,瞳を閉じて,ヒトミヲトジテ
ささきいさお,ササキイサヲ,宇宙戦艦ヤマト,ウチュウセンカンヤマト
ポルノグラフィティ,ポルノグラフィティ,サボテン,サボテン
ビリー・バンバン,ビリー・バンバン,また君に恋している,マタキミ二コイシテル
石川さゆり,イシカワサユリ,天城越え,アマギゴエ